"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Czechia","CZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42840","42800","42800","42800","42840","42820","42800","42780","36520.6","36684.2","36313.9","36054.9","35659.5","35967","35716.1","35458.7","35239.2","35040.4","35258.9","35210","35160","34940","34880","35210","35230","35236.59","35238.71","35297.97","","","",
"Germany","DEU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","193750","193930","194020","194580","195340","195310","194120","192850","192540","190230","189520","189490","188970","188210","187920","187580","187090","186590","185940","185190","184610","183960","183300","182840","182440","182080","181250","180970","180560","180320","171360","169510","171620","173080","173430","173370","173270","173730","171520","170680","170340","169670","170010","170130","170310","169460","169500","169210","168860","167000","167190","166640","166970","167250","167310","166590","166870","166450","166660","165950","165910","","","",
"Djibouti","DJI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","12990","13365","13715","14015","14015","14516","14816","15016","15016","15516","16016","16816","17016","17017","17017","17017","17020","17022","17019","17020","17023","17028","17028","17028","17028","17028","17028","17028","17028","17029","17039","17039","","","",
"Dominica","DMA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","180","180","180","180","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","180","180","180","180","170","170","170","170","190","210","220","220","220","220","220","220","220","220","230","250","250","250","250","250","250","250","250","250","250","250","250","","","",
"Denmark","DNK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31600","31410","30880","30680","30330","30270","30230","30170","29910","29750","29510","29560","29860","29320","29370","29330","29270","29210","29200","29050","28970","28870","28460","28550","28340","28190","27980","27870","27740","27880","27700","27560","27390","26910","27260","27160","26880","26720","26440","26470","26760","26650","26580","26460","27070","27100","26630","26680","26340","26260","26900","26240","26280","26526.31","26338.99","26251","26313","26325","26259.65","26199.87","26180","","","",
"Dominican Republic","DOM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21900","22050","22200","22350","22500","22650","22800","22900","23300","23350","23440","23700","24050","24250","24550","25100","25400","25650","25900","26200","26250","26300","26300","26300","26300","26370","26370","26370","26410","25460","25460","25460","25460","25460","25760","25750","25000","25100","24670","25150","25150","25150","24350","24170","24170","24170","24170","23970","23970","23970","23970","23520","23520","23520","24290","24290","24290","24290","24290","24290","24290","","","",
"Algeria","DZA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","454710","449000","445100","441640","441670","441670","442510","442030","442030","442160","454330","453960","443040","443360","437530","440210","438320","438430","438200","438300","391710","391070","392820","396100","390510","386880","387790","388170","387600","386760","386220","388650","388620","396400","396490","396360","396900","398260","397310","400210","401090","398550","399057","411450","412110","411810","412520","413090","413800","413740","413880","413981.9","414316.35","414310","414564","413602","413351.408","413388.496","413160.71","413160.71","413160.71","","","",
"East Asia & Pacific (excluding high income)","EAP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5620108.667","5654922.591","5692559.704","5729417.983","5773886.275","5816061.3","5858868.801","5902272.676","5953705.77","6007091.719","6050268.3","6111979.172","6178491.746","6260185.174","6319148.767","6238886.568","6315023.731","6384619.077","6430301.78","6486093.171","6548903.501","6655544.767","6769101.766","6882306.2","7032687.5","7122341","7213627","7288705","7362910","7435235.65","7464162.03","7467426.67","7468886.17","7511564.57","7522147.55","7530149.86","7639917.84","7647157","7673948.73","7689016.8","7710190.144","7724458.619","7582453.983","7596959.558","7609135.282","7640835.957","7664320.331","7681142.476","7697060.092","7698008.85","7704399.778","7701654.475","7703867.306","7698296.441","7712742.549","7710163.26","7730851.839","7729913.673","7724383.918","7721716.433","7723973.412","7723084.472","","",
"Early-demographic dividend","EAR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11580540.153","11574405.923","11561522.979","11550305.947","11543872.117","11543670.255","11541259.643","11545974.365","11527739.946","11535899.468","11544781.461","11592516.427","11620034.247","11633238.126","11643931.787","11655002.245","11678764.248","11707827.3","11746902.963","11752573.912","11727293.992","11760570.264","11777515.241","11886884.225","11980912.711","12064555.048","12193127.864","12267185.921","12358788.853","12427798.862","12436849.752","12443270.29","12854131.224","12944513.438","13039792.656","13122375.989","13208026.403","13305548.374","13396006.916","13403686.924","13431188.679","13443669.815","13443929.279","13477199.405","13321559.182","13333973.303","13351076.26","13268947.155","13251161.649","13253470.906","13249648.018","13242546.641","13222984.475","13186296.802","13198567.135","13180618.578","13186023.609","13178759.188","13237650.386","13276410.154","13288620.911","13285311.292","","",
"East Asia & Pacific","EAS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10601458.412","10658017.206","10723040.786","10786591.379","10874614.485","10923602.857","10991730.74","11274684.587","11296372.259","11175383.004","11277696.267","11345153.472","11391934.546","11497896.474","11552890.067","11488187.868","11470872.031","11588164.377","11604228.08","11685139.471","11752794.801","11805501.067","11848733.066","11988182.5","12139563.8","12046217.3","12160743.3","12244911.3","12267981.3","12311071.95","12321106.503","12354218.189","12294340.835","12425052.149","12375418.198","12399253.515","12476545.137","12497888.017","12420513.539","12451305.624","12472502.957","12397574.964","12178288.583","11746634.458","11909755.082","11928207.957","11842775.131","11767170.576","11733347.492","11654095.95","11856975.078","11762226.415","11610038.906","11630620.241","11377586.649","11318148.66","11630897.539","11498477.073","11526772.618","11454684.433","11534150.712","11520641.772","","",
"Europe & Central Asia (excluding high income)","ECA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4071472","4072782","4080012","4079202","4079312","4081222","4079422","4082392","4092762","4088062","4089122","4093982","4093312","4088482","4084402","4083762","4085362","4085572","4094072","4090952","4091272","4077032","4072262","4081242","4086402","4089922","4099362","4097782","4104052","4101962","4105922","4104292","4106516","4108900","4061116","4044428","4046025","4044909","4044317","4048137","4043152","4031518","4018530","4012248","4004586","3991680","3972125","3959377","3951059","4002816","3988894","3987926","3985344.3","3986554.1","3981003","3978696","3974129.81","3966617.81","4003779","4006610.05","4009977.1","4015764.5","","",
"Europe & Central Asia","ECS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","8619455.32","8618657.32","8619762.32","8611844.32","8604091.32","8602106.32","8598310.32","8592330.32","8602094.32","8575157.32","8555206.32","8552603.32","8544531.32","8534784.32","8524587.32","8518130.32","8516819.32","8516476.32","8519669.607","8509583.886","8505118.202","8488908.714","8472348.37","8479049.882","8479941.844","8479359.337","8486652.278","8479591.361","8479685.586","8470073.623","8451683.46","8440236.108","8403943.896","8390382.823","8313483.81","8291139.115","8304980.611","8290356.174","8280137.011","8265184.495","8235005.076","8197398.646","8162478.079","8142799.149","8130249.721","8106856.577","8063701.376","8059555.263","8037178.083","8072390.857","8048063.956","8037906.405","8031955.191","8016394.968","8007823.625","7997904.211","7993805.199","7980076.31","8031182.642","8011622.559","8011954.592","8013633.446","","",
"Ecuador","ECU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","47100","47100","47200","47200","47300","47300","47400","47350","47950","48550","49150","49750","50350","51680","53850","55550","58350","60050","61900","64780","67590","69600","70950","72550","74200","75800","77210","77260","77530","78460","79140","79530","79750","81290","81080","79870","80120","80270","80750","80660","77850","74900","72500","75270","75000","74440","74120","74450","75344","74977","73461","75069","75130","54750","57890","55160","55900","54480","53300","54200","54700","","","",
"Egypt, Arab Rep.","EGY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25680","25050","24900","25060","26720","27800","28010","28010","28350","28430","28520","28550","28550","28430","28250","27300","26350","25400","24470","24450","24680","24452.4","24347.4","24582.6","24970","25670","25470","25810","25710","26480","26430","29962.8","30151.8","30126.6","32830","31764.6","32449.2","32596.2","34830","32910","33380","34240","34090","34780","35230","35330","35380","35420","36890","36710","36200","36960","37309.7","37151.9","37898.771","37337.654","38369.688","38630","39220","39710","40310","","","",
"Euro area","EMU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1487280","1486591","1484011","1477715","1473878","1470762","1469774","1461900","1462818","1448386","1428560","1423739","1418405","1415046","1410782","1403062","1401749","1402058","1397739","1392082","1390606","1389460","1379086","1376572","1374191","1371083","1369197","1361428","1360343","1354177","1333081","1327874","1323719","1319923","1304098","1301562","1295263.4","1296058.8","1294668.2","1280648.4","1265067.2","1257100.2","1246545.1","1240538.1","1243227.9","1228985.6","1217853.2","1225470.2","1216564.2","1211937","1200047.7","1196221.2","1193782.5","1177754.2","1176069","1169695.22","1168974.506","1163210.967","1171405.692","1160869.36","1159080.209","1166091.412","","",
"Eritrea","ERI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74000","74060","74070","73380","73600","74670","74670","75300","75320","75320","75670","75000","75220","75720","75720","75720","75920","75920","75920","75920","75920","75920","75920","75920","75920","75920","75920","75920","75920","","","",
"Spain","ESP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","332300","332320","331370","327530","326940","321560","323820","321590","325270","321190","326840","325680","322800","320780","319210","315160","315900","314780","313550","312380","312060","311910","307910","306280","307120","306100","306010","305780","307010","304720","303710","302790","300330","301830","297190","301390","300590","299580","297780","297660","295200","294190","291530","290710","291640","286130","280040","281420","279700","275450","270140","269420","267332","265780","265765","262657","262955.3","261833.239","262066.906","261426.381","262284.464","","","",
"Estonia","EST","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13740","13200","11010","9910","10050","10230","10430","10010","9860","8900","6982","8287","7704","8819","8985","9146","9068","9318","9488","9460","9559","9650","9740","9930","10030","9820","9850","9884","9850","9870","","","",
"Ethiopia","ETH","Agricultural land (sq. km)","AG.LND.AGRI.K2","","578360","582490","583800","583300","586750","587700","588500","589700","592000","591500","593400","595300","594800","594300","593800","593300","593100","592890","592770","591150","588600","586050","583480","578900","576900","573850","570300","567750","565200","563120","561580","561050","305400","304720","305000","305000","304920","304490","305570","305340","305590","304980","316070","331010","335910","342190","350770","345130","349850","356830","363252","364880","366990","369100","371210","373320","375401","379030","381900","384761","385950","","","",
"European Union","EUU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2080860","2079011","2073371","2066875","2060348","2056932","2055014","2047430","2047348","2032066","2011540","2005279","1998735","1994596","1989182","1983652","1981599","1981218","1975589","1968782","1965526","1963930","1952806","1950622","1946711","1942913","1940937","1932368","1927253","1920957","1898901","1889924","1885079","1881093","1864448","1860532","1854063.4","1848208.8","1846678.2","1826719.4","1804636.2","1780579.8","1762696.3","1751354","1750504.8","1733196.1","1711879.2","1719884.3","1709564.9","1694173.2","1684479.1","1675265.1","1671303.3","1654751.21","1652680.49","1643015.42","1642336.406","1637289.867","1649591.932","1629824.666","1627278.037","1627106.38","","",
"Fragile and conflict affected situations","FCS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4836165.786","4844542.232","4853366.375","4859454.564","4860704.642","4860647.155","4865491.542","4877925.589","4889772.476","4888929.249","4897114.861","4911231.895","4915002.07","4914796.681","4919690.228","4932388.138","4937169.621","4943396.699","4955481.819","4971362.376","4973192.245","4980855.791","4992552.008","4998903.103","5009007.003","5023532.684","5023984.514","5031502.205","5031933.962","5060484.124","5088280.902","5108546.628","5512304.159","5544765.028","5578715.212","5600142.704","5613647.346","5622878.728","5638068.611","5659417.289","5681747.492","5695392.284","5728338.384","5745521.299","5812835.139","5830747.842","5860713.588","5860227.753","5883737.244","5924984.181","5960776.294","7389068.874","7418498.817","7437620.719","7453460.968","7478865.266","7501576.223","7523475.715","7532072.768","7549374.862","7568719.391","7583325.884","","",
"Finland","FIN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","27657","27851","28065","28256","28415","28594","28734","28861","27655","27242","27037","26137","25821","26054","26138","26119","25976","25851","25675","25360","25167","24877","24504","24257","24084","23934","24080","23732","23858","23930","24248","24065","23837","24119","22440","22180","21500","21920","22014","22180","22220","22360","22460","22530","22738","23008","22949","22964","22965","22919","22866","22851","22585","22671","22734","22750","22700","22720","22740","22700","22680","","","",
"Fiji","FJI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2270","2270","2280","2280","2230","2230","2210","2190","2210","2210","2210","2300","2350","2400","2450","2600","2700","2800","2850","2900","3000","3100","3200","3300","3450","3500","3650","3800","3950","4100","4240","4182","4124","4066","4008","3950","3892","3834","3776","3718","3660","3602","3544","3486","3428","3370","3312","3254","3198","3191","3184","3177","3170","3163","3156","3149","3142","3135","3128","3116","3116","","","",
"France","FRA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","345390","344400","343540","341090","340010","338460","336290","331780","331730","324950","326230","325150","324600","324420","323570","320210","319100","319610","318340","317220","316870","316460","315650","315080","314420","313950","313530","308300","307409","305928","304849","303843","302913","302049","301502","300963","300396","299800","299291","298074","297133","296107","295346","294584","293904","293127","292061","291101","290199","289263","288786","288448","287737","287665","287269","287180.21","286974.99","286601","286211.86","285537.54","285537.54","","","",
"Faroe Islands","FRO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.32","965.24","965.01","965.01","964.93","964.93","964.93","964.93","965.39","965.39","965.39","965.39","965.39","965.39","965.39","964.1","963.95","964.03","964.03","964.03","964.18","964.18","963.5","963.5","963.35","963.35","960.7","960.7","","","",
"Micronesia, Fed. Sts.","FSM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","225","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","50","50","50","50","50","50","50","50","50","50","50","50","50","","","",
"Gabon","GAB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","16773.8","16923.8","17073.8","17223.8","17373.8","17523.8","17673.8","17823.8","17973.8","18123.8","18323.8","18473.8","18673.8","18823.8","19013.8","19363.8","19593.8","19813.8","19833.8","19853.8","19873.8","19893.8","19913.8","19933.8","19953.8","19973.8","19993.8","20013.8","20033.8","20053.8","20115.42","20177.04","20238.66","20300.28","20361.9","20423.52","20485.14","20546.76","20608.38","20670","20720.59","20771.18","20821.77","20872.36","20922.95","20973.54","21024.13","21074.72","21125.31","21175.9","21294.72","21413.54","21532.36","21532.36","21532.36","21532.36","21532.36","21532.36","21532.36","21532.36","21532.36","","","",
"United Kingdom","GBR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","198000","197790","197470","197030","195850","195500","195540","194260","193800","188490","188430","187560","186960","186380","185830","185680","184900","184780","184520","184690","183200","182810","182160","182020","181680","181300","181160","184230","183060","182030","181430","180700","175340","174090","173790","174940","175850","175180","172190","169640","169530","169760","169560","170510","169560","178380","176470","176840","173250","172240","171640","171820","172502","172320","171380","173499.818","174661.525","173508.616","175212.961","172592.981","172151.41","","","",
"Georgia","GEO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","32290","31280","30970","30480","30350","30370","30450","29990","30000","30030","30040","30060","24920","25200","25180","25170","25140","24980","24600","24424","24350","24861","24160","24181","23940","23848","23742","23726","23779","23799","","","",
"Ghana","GHA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","117000","117000","117000","117000","117000","117000","117000","117000","117000","117000","117000","117000","117000","117000","118000","118000","118000","119000","119000","119000","119000","120920","120840","122760","123680","123600","124520","125440","125360","126280","127200","127200","128000","129000","131000","133000","135826.95","129852.107","130595.504","127655.201","128980.308","130504.795","125911.292","118695.739","121195.796","120437.923","124722.52","120047.607","123104.653","124004.38","123078.457","123503.384","124630.761","123746.548","124155.145","123579.422","120839.639","122175.416","124799.743","126037.4","126037.4","","","",
"Gibraltar","GIB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","146200","146190","145950","145710","145480","145240","145000","144760","144520","144290","144050","143810","143570","143340","143200","142960","142720","142480","142450","142210","141970","141730","141590","141360","141220","140980","140740","140810","140570","141410","140490","140550","140520","140480","140240","140350","140360","140670","140780","140790","140800","140910","141120","141230","141210","141300","141800","142400","142500","143000","143000","144000","145000","145330","145450","145650","145950","146220","146300","146350","146380","","","",
"Gambia, The","GMB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5240","5250","5260","5270","5280","5290","5310","5310","5330","5340","5370","5420","5470","5740","5680","5670","5740","5810","5700","5630","5850","6060","5870","5730","5730","5800","5850","5980","5780","5820","5820","5480","5470","5570","5570","5570","5570","5670","5670","5060","4840","4910","4710","4780","4850","4960","4960","5660","6220","6440","6440","6440","6440","6440","6440","6440","6340","6340","6340","6340","6340","","","",
"Guinea-Bissau","GNB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4896.7","4896.7","4896.7","4896.7","4896.7","4896.7","4996.7","4996.7","4996.7","4996.7","4996.7","4996.7","5046.7","5096.7","5096.7","5096.7","5106.7","5106.7","5116.7","5146.7","5216.7","5346.7","5446.7","5716.7","5796.7","5466.7","5416.7","5316.7","5686.7","5786.7","5824.5","5824.5","6024.5","6124.5","6208.95","6293.4","6377.85","6462.3","6546.75","6631.2","6715.65","6800.1","6884.55","6969","7053.45","7137.9","7222.35","7306.8","7391.25","7475.7","7560.14","7644.58","7729.02","7813.46","7897.9","7982.3","8066.7","8151.1","8151.1","8151.1","8151.1","","","",
"Equatorial Guinea","GNQ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1468.5","1448.5","1438.5","1418.5","1408.5","1388.5","1378.5","1358.5","1348.5","1328.5","1318.5","1298.5","1288.5","1268.5","1258.5","1238.5","1228.5","1208.5","1198.5","1178.5","1168.5","1148.5","1138.5","1078.5","1078.5","1078.5","1078.5","1078.5","1078.5","1038.5","1038.5","1048.5","1028.5","1028.5","1028.5","1038.5","1048.5","1028.5","1028.5","1028.5","1028.5","1028.5","1028.5","1028.5","1029.8","1031.1","1032.4","1033.7","1035","1036.3","1037.6","1038.9","1040.2","1041.5","1042.8","1044.1","1045.4","1046.7","1048","1049.2","1049.2","","","",
"Greece","GRC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","89100","89020","90210","89910","86780","90900","91130","91430","91440","91550","91550","91600","91430","91410","91180","91150","91120","91750","91810","91800","92060","92060","91820","92090","91840","91800","91770","91790","92150","92220","91640","91670","91600","91700","91640","91720","89850","87820","86700","85290","84380","83430","82520","80800","80050","78630","77530","76570","75600","74890","73960","72830","71530","62010","61990","61360","60535.408","59436.904","58671.88","58671.88","58671.88","","","",
"Grenada","GRD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","220","220","220","220","220","220","220","220","220","220","220","200","200","200","200","200","200","190","190","160","160","160","160","160","140","140","130","130","130","130","120","120","120","120","110","110","110","110","120","120","130","130","120","120","90","90","90","90","100","100","100","80","80","80","80","80","80","80","80","80","80","","","",
"Greenland","GRL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2353","2356","2359","2362","2365","2368","2371","2374","2377","2380","2383","2386","2389","2392","2395","2398","2401","2404","2407","2410","2413","2416","2419","2422","2425","2428","2431","2434","2430.7","2430.8","2431","2431.1","2431.1","2431.1","2431.1","2431.1","2431.1","","","",
"Guatemala","GTM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","26460","26580","26700","26820","26940","27060","27280","27400","27420","27550","27670","28000","28430","28750","28880","29300","29930","30050","30160","30500","30670","31040","31190","37850","37850","37850","37850","42850","42850","42850","42850","42850","44820","45120","45120","45120","45744.3","46368.6","46992.9","47617.2","48241.5","48865.8","49490","47230","45620","43154.512","44480","44340","43696","43172","42948","42624","42230","42849","44640","44938","45236","45534","45832","46120","46120","","","",
"Guam","GUM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","160","160","170","170","170","170","170","170","170","170","170","170","170","170","170","170","170","170","180","180","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","190","190","180","180","180","180","180","180","170","170","170","160","160","160","160","","","",
"Guyana","GUY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13590","13590","13590","13590","13590","13640","13640","13660","13660","13710","13710","13740","13760","13760","13780","13292.417","12804.833","12317.25","11829.667","11342.083","10854.5","10366.917","9879.333","9928","9946.667","9985.333","10004","10022.667","10061.333","10080","10098.667","10117.333","10136","10154.667","10193.333","10222","10240.667","10259.333","10278","10306.667","10345.333","10364","10382.667","10401.333","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10420","10430","","","",
"High income","HIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15853424.065","15843119.935","15844541.402","15846166.716","15856578.53","15859506.877","15880621.259","16116990.231","16083898.809","15926708.605","15943231.287","15921331.62","15876555.12","15877913.62","15872006.62","15889261.937","15790610.453","15811786.87","15772533.574","15786740.269","15782912.002","15757909.931","15676127.003","15751142.182","15798262.811","15660937.89","15687230.578","15742878.328","15737796.219","15751333.923","15712543.244","15715132.96","15658068.561","15780932.152","15749286.958","15788949.02","15824152.909","15901478.941","15850555.321","15854929.57","15835771.398","15714132.642","15612787.981","15156304.4","15300101.223","15263106.462","15120507.844","15028862.961","14956338.82","14846109.314","15024261.443","14941894.167","14787767.031","14799917.217","14531982.622","14467775.577","14761144.163","14607671.534","14637187.692","14523817.861","14583025.737","14533664.71","","",
"Hong Kong SAR, China","HKG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","140","140","140","130","130","130","130","130","130","130","120","120","120","120","100","100","90","80","80","90","90","90","90","90","90","90","90","90","80","80","80","80","80","80","80","80","70","70","70","70","70","70","70","70","70","60","60","60","60","55","55","51","51","51","51","50","51","50","50","40","40","","","",
"Honduras","HND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","29800","29900","29950","30000","30050","30150","30250","30300","30300","30400","30450","30800","30900","30960","31350","31700","32450","32570","32570","32570","32640","32690","32700","32770","32780","32850","32850","32850","33710","33200","33420","33550","35480","35200","34800","34800","33950","33950","33370","29350","29360","30280","31530","31400","31500","31600","31600","31840","31980","32680","33110","33580","33700","33750","33750","34240","34880","35090","35090","35380","35760","","","",
"Heavily indebted poor countries (HIPC)","HPC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5177207.58","5182386.52","5197775.15","5209133.56","5216056.89","5221605.42","5226947.38","5241320.85","5249260.58","5252999.74","5273834.91","5282503.39","5287053.07","5289960.61","5306313.43","5315147.457","5326877.803","5341932.16","5349001.717","5358579.963","5377026.34","5386963.957","5399478.563","5416797.715","5437370.387","5457319.497","5461001.189","5474357.511","5480797.462","5501157.523","5520662.405","5542790.828","5957413.742","5983083.062","6019165.322","6049676.46","6082837.704","6099370.138","6137649.831","6164579.011","6190038.907","6209509.429","6243462.254","6262464.672","6342292.92","6368158.98","6403559.711","6425784.81","6466696.42","6513863.805","6551749.049","7712043.101","7759127.741","7790562.416","7827473.576","7845385.617","7875793.701","7919175.059","7939918.381","7960994.363","7985278.628","7997296.836","","",
"Croatia","HRV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","24040","22720","23120","23320","19350","19410","20480","20320","11690","11780","11810","11960","11760","12110","12300","12020","12891","12996","13338","13261","13310","15673","15085","15372","15460","14970","14840","15040","15050","14760","","","",
"Haiti","HTI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","16600","16650","16700","16750","16800","16850","16900","16950","17000","17050","17100","15840","15830","15830","15830","15850","15850","15950","15950","16000","16000","16000","16000","16000","16000","16000","16000","15990","15980","15970","15960","15750","15750","15950","15900","15900","16900","16900","16900","16900","16700","16700","16700","16700","17700","17700","17700","17700","18163.3","19840","20090","20240","20680","20680","20680","20680","20100","19950","17900","17900","17950","","","",
"Hungary","HUN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","70830","70120","69840","69790","69530","69270","69140","69030","68880","68750","68550","68460","68350","67820","67700","67570","67290","66980","66510","66270","66010","65820","65710","65540","65390","65230","65110","64970","64840","64740","64600","61360","61300","61220","61790","61840","61950","61930","61860","58540","58650","58490","58650","58640","58630","58090","58070","57900","57830","53430","53370","53380","52570","52640","52640","52820","53030","52960","52780","49166.726","50436.886","","","",
"IBRD only","IBD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22755452.967","22828529.891","22892773.004","22954150.283","23034718.575","23117898.6","23192410.101","23285197.976","23370889.07","23467794.019","23596059.6","23726708.472","23849955.107","23982264.595","24082912.249","24065629.11","24209267.334","24346251.741","24471303.504","24566179.036","24622421.347","24751844.073","24917299.133","25094373.827","25276247.498","25367410.608","25475888.539","25550486.03","25629364.96","25696713.251","25750081.318","25756171.865","25734045.873","25762980.61","25694289.854","25685768.707","25816449.2","25834146.444","25848621.087","25850403.861","25824161.378","25827194.157","25664270.976","25682055.118","25514420.247","25519032.679","25523123.904","25457986.564","25442440.414","25510210.552","25494332.342","25487686.985","25494213.421","25441660.425","25459012.209","25427937.672","25409333.534","25353947.785","25355963.603","25347268.517","25319361.131","25262982.18","","",
"IDA & IBRD total","IBT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","30062351.843","30145961.162","30234438.558","30313983.946","30408630.155","30495347.233","30575616.591","30679183.492","30758737.713","30865289.605","30999166.977","31148305.433","31287424.043","31415372.771","31532234.117","31525706.735","31676363.618","31835069.47","31963805.299","32083155.984","32147471.771","32309088.169","32468116.762","32672355.208","32887213.245","32985517.632","33114806.25","33200945.538","33297748.331","33385803.311","33467163.172","33500877.863","33899787.621","33973553.685","33968611.958","33990063.778","34161465.284","34202101.216","34266740.357","34300782.242","34308886.462","34331155.128","34211889.769","34248515.181","34162169.112","34196021.38","34238795.423","34193900.606","34220872.637","34326820.278","34359965.347","35800658.08","35849646.851","35829916.136","35887116.13","35887045.035","35904139.243","35895769.56","35909929.593","35931214.465","35928137.554","35893882.804","","",
