year,season,adm_id,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq
1981,Maha,25830,54.55437132380952,71.92911595238095,154.81109247619048,203.45649576190476,480.33963047619045,530.701840952381,77.59374280952382
1981,Maha,25832,40.90929755238095,64.65628938095237,119.28751819047619,179.34542042857143,372.7276257142857,437.51759095238094,75.48338628571429
1981,Maha,25833,41.095238566666666,64.11130457142858,120.0805885952381,177.18653276190474,373.53700333333336,438.14209904761907,80.28406142857143
1981,Maha,25834,42.96500306190476,60.273608428571436,132.14485399999998,172.18254357142857,419.6161309523809,461.1417923809523,81.10224545238096
1981,Maha,25835,39.944680995238095,53.82824052380953,124.42787392857142,157.4821772857143,410.37569690476187,450.8104447619048,77.79057471428571
1981,Maha,25836,48.51683033809523,66.37216823809524,142.59800204761905,187.6035716190476,454.0481338095238,495.1744033333333,81.19484957142856
1981,Maha,25837,42.71458723809524,54.728250095238096,129.2987690952381,164.5750180952381,432.50340952380947,488.1804323809524,79.55298838095239
1981,Maha,25838,36.40587432380952,45.841047476190475,114.10252907142856,140.30261766666666,389.5810009523809,431.4450780952381,82.40134371428572
1981,Maha,25839,36.87404002857143,49.44137242857143,114.83385392857141,149.21117376190475,357.268732,414.55626780952383,79.82738357142857
1981,Maha,25840,36.78513284761905,49.03383511904762,114.78151714285715,144.88477147619045,362.1670734285714,399.7357542857143,78.53869542857143
1981,Maha,25841,39.90256483333334,50.197973142857144,124.93684700000001,149.8710858095238,408.0992323809524,431.24938809523803,80.66104769047618
1981,Maha,25842,44.125490776190475,55.93848766666667,137.7808915904762,163.83241742857143,427.20520904761906,447.7311438095238,82.04638942857143
1981,Maha,25843,45.6293035952381,55.91916957142857,142.7668837,164.00436990476192,451.299244047619,460.6019387619047,82.05032761904762
1981,Maha,25844,64.58008708571428,77.8193059047619,192.37467661904762,234.58255495238095,621.0082738095238,691.9822133333333,81.5541260952381
1981,Maha,25845,66.74426848095239,76.19412095238096,195.7240279047619,225.7963626190476,603.5294004761904,636.8507128571429,86.10629971428571
1981,Maha,25846,68.1798954,81.46816585714285,199.60938990476194,243.38725976190477,614.5408585714285,697.2910252380952,83.6552019047619
1981,Maha,25847,34.84257659047619,46.58647880952381,104.61338138095239,138.06082109523808,359.0707561904762,401.0668980952381,80.61065633333334
1981,Maha,25848,65.59340658571429,73.83964276190476,190.89679852380954,219.78615933333333,583.2863061904762,619.8051404761906,87.49819485714286
1981,Maha,25849,58.38601919047619,70.867022,165.9590819047619,200.8057154761905,501.83285047619046,526.3347895238096,82.69765038095238
1981,Maha,25850,42.3220682952381,60.379288571428575,123.27830090476189,171.21719914285714,387.50068666666664,443.22830999999996,75.85832897619048
1981,Maha,25851,62.59627352380952,80.26659785714286,188.7209217142857,242.40085885714285,609.9138947619048,715.6801709523809,79.02145730952381
1981,Maha,25852,52.798379876190474,68.3319830952381,159.90487876190477,207.92197880952384,532.7436704761905,623.0260576190476,78.2603009047619
1981,Maha,25853,72.02381037619047,88.73891947619047,213.54454066666668,264.8998463809524,657.4679023809524,759.8164585714286,81.40991604761905
1981,Maha,2736,59.985328571428575,72.46037752380953,171.9921102857143,209.67228257142855,539.3785057142857,579.6751576190476,80.48850433333334
1981,Maha,2737,41.505036257142855,63.34715133333333,122.91633352380953,176.87251166666667,385.4138857142857,443.9663704761905,78.20379580952381
1981,Maha,2738,42.777642547619045,57.97381171428571,130.43281738095237,167.43682761904762,424.8087557142857,465.4720380952381,78.92098695238096
1981,Maha,2739,40.167296,51.13983261904762,123.16293171428572,154.7744658095238,415.17247142857144,465.27219619047617,80.56674142857143
1981,Maha,2740,41.677783733333335,52.94583804761905,130.2369681904762,156.4232801904762,411.4896335714286,436.47349380952386,81.1928889047619
1981,Maha,2741,66.01402298095238,76.74249714285713,194.5938762857143,228.76102642857145,609.4271742857143,655.4533680952381,84.472906
1981,Maha,2742,51.69368575714285,63.13976328571429,152.337186,187.9198995238095,485.69878809523806,538.8584414285715,82.2002073095238
1981,Maha,2743,47.71496660952381,63.90017057142857,137.60684923809524,181.15048523809523,425.88362047619046,471.12834714285714,78.580326
1981,Maha,2744,62.839967771428576,79.27998961904761,188.20021552380953,238.70774523809524,600.4533085714286,698.7977504761905,79.85217866666667
1981,Maha,41748,63.856349209523806,74.03280361904761,182.54942342857143,214.63520280952383,565.4464466666666,596.1078228571429,82.79519971428572
1981,Maha,41749,62.254515742857144,71.44742761904762,180.91778580952382,211.71852833333335,580.611759047619,619.2484757142857,84.06311023809523
1981,Yala,25830,35.094527240000005,36.863814266666665,108.287563,112.20162493333333,298.121398,359.0276953333333,94.84356326666666
1981,Yala,25832,22.792743706666666,20.512275199999998,67.45124746666667,62.2506574,204.63854733333335,228.19169666666667,107.7731738
1981,Yala,25833,12.843902396666666,12.536748139999998,37.18373898,37.26271,111.88455173333334,142.64384833333332,102.63024093333334
1981,Yala,25834,18.96706853,18.054377542666668,53.4393578,51.760829560000005,145.77590606666666,160.76369506666666,99.0025364
1981,Yala,25835,24.110922177333332,23.11048716133333,69.32766034666666,69.99956577333333,196.69021800000002,224.0840936666667,104.20013859999999
1981,Yala,25836,28.168391626666665,26.790536359999997,83.08620753333334,79.6897906,231.076446,256.02168466666666,100.0685766
1981,Yala,25837,38.655696400000004,40.849070866666665,119.03839506666667,125.76238946666668,331.1966106666667,388.3419533333333,97.51118960000001
1981,Yala,25838,26.80373818,27.446542333333333,81.6996872,85.04722633333334,237.36199133333332,272.32022466666666,104.72082206666667
