Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1960,934,378,888,360,35.93,1853,27100,566,Maha,0.9523809523809524,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,9661389.0,0.0,-1.54467680609201,1,1861.0,64.50506032282912,0
1960,548,222,536,217,36.82,1898,16700,349,Yala,0.9774774774774776,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,9661389.0,0.0,-1.54467680609201,1,1873.0,43.15622566074509,0
1961,958,388,936,379,38.02,1960,30200,631,Maha,0.9768041237113402,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,9899372.0,0.0246323794642777,1.1344436397999,1,1853.0,64.50506032282912,0
1961,538,218,519,210,36.46,1880,16000,334,Yala,0.963302752293578,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,9899372.0,0.0246323794642777,1.1344436397999,1,1898.0,43.15622566074509,0
1962,1000,405,982,398,37.84,1951,31600,660,Maha,0.982716049382716,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,10143754.0,0.0246866164843588,1.50357995251549,1,1960.0,64.50506032282912,0
1962,578,234,556,225,37.69,1943,17800,372,Yala,0.9615384615384616,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,10143754.0,0.0246866164843588,1.50357995251549,1,1880.0,43.15622566074509,0
1963,1014,411,980,397,38.6,1990,32148,672,Maha,0.9659367396593674,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,10395040.0,0.0247724856103568,2.27290539996214,1,1951.0,64.50506032282912,0
1963,562,228,544,220,38.04,1961,17600,368,Yala,0.9649122807017544,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,10395040.0,0.0247724856103568,2.27290539996214,1,1943.0,43.15622566074509,0
1964,985,399,796,322,34.11,1759,23070,482,Maha,0.8070175438596491,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,10653397.0,0.0248538726161708,3.19564717604592,1,1990.0,64.50506032282912,0
1964,572,232,555,225,38.92,2007,18357,384,Yala,0.9698275862068966,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,10653397.0,0.0248538726161708,3.19564717604592,1,1961.0,43.15622566074509,0
1965,1050,425,1007,408,35.91,1852,30739,642,Maha,0.96,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,10916965.0,0.0247402776785659,0.222783306254021,1,1759.0,64.50506032282912,0
